Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
AR,None,11,176,176,0.00889405372958018,0.00889405372958018,2.43855786293749e-05,0.0625439673911894,0.0672613733473855,0.0672613733473855,0.0105390444290817,0.0105390444290817,0.00117100493656463,0.00165698692387728,0.00605815076417583,7.91110496243188e-06,0.546875,-0.240625,0.429403409090909,0.0299474190761883
AR,None,12,176,176,0.0102239632612894,0.0102239632612894,4.2277764997282e-05,0.0701853554042803,0.0750002873940688,0.0750002873940688,0.0120720471445663,0.0120720471445663,0.00134133857161848,0.00201217364549918,0.00685677471014515,1.36763340265998e-05,0.546875,-0.240625,0.433238636363636,0.0354066083759161
AR,None,13,176,176,0.0115112025642802,0.0115112025642802,6.94735364880375e-05,0.0765011712749619,0.0812071188270595,0.0812071188270595,0.0134852442405458,0.0134852442405458,0.00149836047117175,0.00236035171257209,0.00762985806328021,2.2632317256121e-05,0.542613636363636,-0.244886363636363,0.438636363636364,0.0407158350072616
AR,None,14,176,176,0.0128079323170657,0.0128079323170657,0.000110318304102416,0.0817856677074082,0.086860721337291,0.086860721337291,0.0149840525545427,0.0149840525545427,0.00166489472828252,0.00271546761619029,0.00839162935108374,3.59406215091098e-05,0.526988636363636,-0.260511363636363,0.446448863636364,0.0459231736259446
ARX,Both,1,176,176,0.000829387606148009,0.000829387606148009,4.43518552384336e-08,0.00840968520316285,0.00842670195338357,0.00842670195338357,0.000831079712786052,0.000831079712786052,9.23421903095614e-05,1.89496180345113e-06,0.000734342782258973,8.07671776023953e-07,0.555397727272727,-0.232102272727272,0.419744318181818,4.7172136010213e-05
ARX,Both,2,176,176,0.0017158252337032,0.0017158252337032,3.22358018198552e-07,0.0180396656376457,0.0180704042952808,0.0180704042952808,0.00172473939530046,0.00172473939530046,0.00019163771058894,1.13168582599784e-05,0.00150785966935356,5.01099550071975e-06,0.497159090909091,-0.290340909090909,0.456676136363637,0.000266060883359769
ARX,Both,3,176,176,0.00263893953623432,0.00263893953623432,1.34366383870432e-06,0.0283118086271675,0.0283570723619462,0.0283570723619462,0.00266562130944729,0.00266562130944729,0.000296180145494143,3.81407941963193e-05,0.00228755631227654,1.70622842673191e-05,0.457386363636364,-0.330113636363636,0.483948863636364,0.000859374259371429
ARX,Both,4,176,176,0.00354703615231727,0.00354703615231727,4.25150754586971e-06,0.0381371991633925,0.0382056275646011,0.0382056275646011,0.00361421779317661,0.00361421779317661,0.000401579754797402,9.36500921173835e-05,0.00301058421976552,4.12220856369605e-05,0.440340909090909,-0.347159090909091,0.500994318181818,0.00204360154037662
ARX,Both,5,176,176,0.00439794536293723,0.00439794536293723,1.07637416217875e-05,0.0465285622509049,0.0466405292957085,0.0466405292957085,0.00453362313801103,0.00453362313801103,0.000503735904223448,0.000188159811913661,0.00362281025952288,8.32393872772358e-05,0.417613636363636,-0.369886363636363,0.513210227272727,0.00398855457154756
ARX,Both,6,176,176,0.00517234601267959,0.00517234601267959,2.35475474459105e-05,0.0530214314866457,0.0532134322574131,0.0532134322574131,0.00541834623175316,0.00541834623175316,0.000602038470194796,0.000327882629296501,0.00410041650419993,0.000142008408988364,0.400568181818182,-0.386931818181818,0.5234375,0.00675706117975282
ARX,Both,7,176,176,0.00588488734830625,0.00588488734830625,4.96411783148286e-05,0.0576819689559552,0.058008363037601,0.058008363037601,0.00627693667201498,0.00627693667201498,0.000697437408001665,0.000516472223979441,0.00444807137786225,0.000222906338462901,0.392045454545455,-0.395454545454545,0.527130681818182,0.0102987211764304
